,eof,ct_b,ct_string,ct_float,ct_int,comma,id,c_brckt,o_brckt,return,break,continue,opr_atr,idt_int,c_c_brckt,o_c_brckt,for,while,else,if,vec_in,oprlr_rel,ct_true,ct_false,oprlr_and,oprlr_or,oprl_not,opr_dm,opr_pm,idt_bool,idt_float,idt_string,idt_char,idt_void,const,eof
FCALL_OR_ATRIB_F,,,,,,,,,FCALL_OR_ATRIB_F=FN_CH,,,,FCALL_OR_ATRIB_F=ATRIB,,,,,,,,,,,,,,,,,,,,,,,
VAR_DCLR,,,,,,,,,,,,,,VAR_DCLR=IDT_T ID_OR_VEC opr_atr DATA,,,,,,,,,,,,,,,,VAR_DCLR=IDT_T ID_OR_VEC opr_atr DATA,VAR_DCLR=IDT_T ID_OR_VEC opr_atr DATA,VAR_DCLR=IDT_T ID_OR_VEC opr_atr DATA,VAR_DCLR=IDT_T ID_OR_VEC opr_atr DATA,,,
DATA,,,DATA=CT,DATA=CT,DATA=CT,,DATA=ID_OR_VEC,,,,,,,,,,,,,,,,DATA=CT,DATA=CT,,,,,,,,,,,,
ID_OR_VEC,,,,,,,ID_OR_VEC=id VEC_INDX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT_OR_ID,,,,,INT_OR_ID=ct_int,,INT_OR_ID=id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEC_INDX,,,,,,VEC_INDX=epsilon,VEC_INDX=epsilon,VEC_INDX=epsilon,VEC_INDX=epsilon,VEC_INDX=epsilon,VEC_INDX=epsilon,VEC_INDX=epsilon,VEC_INDX=epsilon,VEC_INDX=epsilon,VEC_INDX=epsilon,,VEC_INDX=epsilon,VEC_INDX=epsilon,,VEC_INDX=epsilon,VEC_INDX=vec_in INT_OR_ID,VEC_INDX=epsilon,,,VEC_INDX=epsilon,VEC_INDX=epsilon,,VEC_INDX=epsilon,VEC_INDX=epsilon,VEC_INDX=epsilon,VEC_INDX=epsilon,VEC_INDX=epsilon,VEC_INDX=epsilon,,,
EXPR_NUM,,,,EXPR_NUM=EXPR_NUM_K EXPR_NUM_KR,EXPR_NUM=EXPR_NUM_K EXPR_NUM_KR,,EXPR_NUM=EXPR_NUM_K EXPR_NUM_KR,,EXPR_NUM=EXPR_NUM_K EXPR_NUM_KR,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPR_NUM_KR,,,,,,EXPR_NUM_KR=epsilon,EXPR_NUM_KR=epsilon,EXPR_NUM_KR=epsilon,EXPR_NUM_KR=epsilon,EXPR_NUM_KR=epsilon,EXPR_NUM_KR=epsilon,EXPR_NUM_KR=epsilon,EXPR_NUM_KR=epsilon,EXPR_NUM_KR=epsilon,EXPR_NUM_KR=epsilon,,EXPR_NUM_KR=epsilon,EXPR_NUM_KR=epsilon,,EXPR_NUM_KR=epsilon,,EXPR_NUM_KR=epsilon,,,EXPR_NUM_KR=epsilon,EXPR_NUM_KR=epsilon,,,EXPR_NUM_KR=opr_pm EXPR_NUM,EXPR_NUM_KR=epsilon,EXPR_NUM_KR=epsilon,EXPR_NUM_KR=epsilon,EXPR_NUM_KR=epsilon,,,
EXPR_NUM_K,,,,EXPR_NUM_K=EXPR_NUM_G EXPR_NUM_KH,EXPR_NUM_K=EXPR_NUM_G EXPR_NUM_KH,,EXPR_NUM_K=EXPR_NUM_G EXPR_NUM_KH,,EXPR_NUM_K=EXPR_NUM_G EXPR_NUM_KH,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPR_NUM_KH,,,,,,EXPR_NUM_KH=epsilon,EXPR_NUM_KH=epsilon,EXPR_NUM_KH=epsilon,EXPR_NUM_KH=epsilon,EXPR_NUM_KH=epsilon,EXPR_NUM_KH=epsilon,EXPR_NUM_KH=epsilon,EXPR_NUM_KH=epsilon,EXPR_NUM_KH=epsilon,EXPR_NUM_KH=epsilon,,EXPR_NUM_KH=epsilon,EXPR_NUM_KH=epsilon,,EXPR_NUM_KH=epsilon,,EXPR_NUM_KH=epsilon,,,EXPR_NUM_KH=epsilon,EXPR_NUM_KH=epsilon,,EXPR_NUM_KH=opr_dm EXPR_NUM_G EXPR_NUM_KH,EXPR_NUM_KH=epsilon,EXPR_NUM_KH=epsilon,EXPR_NUM_KH=epsilon,EXPR_NUM_KH=epsilon,EXPR_NUM_KH=epsilon,,,
