entrada,Pilha,Regra
)    ,[:EXPR_BOOL_TH،:EXPR_BOOL_H،:O_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],EXPR_BOOL_TH=epsilon
)    ,[:EXPR_BOOL_H،:O_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],EXPR_BOOL_H=epsilon
for  ,[:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],ALL_ITER=ITER_FOR ALL_ITER
for  ,[:ITER_FOR،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],ITER_FOR=for o_brckt VAR_DCLR comma FOR_EXP_LIMITER comma ID_OR_VEC opr_atr EXPR_NUM c_brckt o_c_brckt ALL_ITER c_c_brckt
int  ,[:VAR_DCLR،:COMMA،:FOR_EXP_LIMITER،:COMMA،:ID_OR_VEC،:OPR_ATR،:EXPR_NUM،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_B,VAR_DCLR=IDT_TYPE ID_OR_VEC opr_atr DATA
int  ,[:IDT_TYPE،:ID_OR_VEC،:OPR_ATR،:DATA،:COMMA،:FOR_EXP_LIMITER،:COMMA،:ID_OR_VEC،:OPR_ATR،:EXPR_NUM،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،,IDT_TYPE=idt_int
i    ,[:ID_OR_VEC،:OPR_ATR،:DATA،:COMMA،:FOR_EXP_LIMITER،:COMMA،:ID_OR_VEC،:OPR_ATR،:EXPR_NUM،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،ID_OR_VEC=id VEC_INDX
=    ,[:VEC_INDX،:OPR_ATR،:DATA،:COMMA،:FOR_EXP_LIMITER،:COMMA،:ID_OR_VEC،:OPR_ATR،:EXPR_NUM،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،,VEC_INDX=epsilon
h    ,[:DATA،:COMMA،:FOR_EXP_LIMITER،:COMMA،:ID_OR_VEC،:OPR_ATR،:EXPR_NUM،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT,DATA=ID_OR_VEC
h    ,[:ID_OR_VEC،:COMMA،:FOR_EXP_LIMITER،:COMMA،:ID_OR_VEC،:OPR_ATR،:EXPR_NUM،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_,ID_OR_VEC=id VEC_INDX
،   ,[:VEC_INDX،:COMMA،:FOR_EXP_LIMITER،:COMMA،:ID_OR_VEC،:OPR_ATR،:EXPR_NUM،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_B,VEC_INDX=epsilon
i    ,[:FOR_EXP_LIMITER،:COMMA،:ID_OR_VEC،:OPR_ATR،:EXPR_NUM،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C,FOR_EXP_LIMITER=ID_OR_VEC oprlr_rel EXPR_NUM
i    ,[:ID_OR_VEC،:OPRLR_REL،:EXPR_NUM،:COMMA،:ID_OR_VEC،:OPR_ATR،:EXPR_NUM،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRC,ID_OR_VEC=id VEC_INDX
<    ,[:VEC_INDX،:OPRLR_REL،:EXPR_NUM،:COMMA،:ID_OR_VEC،:OPR_ATR،:EXPR_NUM،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCK,VEC_INDX=epsilon
n    ,[:EXPR_NUM،:COMMA،:ID_OR_VEC،:OPR_ATR،:EXPR_NUM،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCK,EXPR_NUM=EXPR_NUM_K EXPR_NUM_KR
n    ,[:EXPR_NUM_K،:EXPR_NUM_KR،:COMMA،:ID_OR_VEC،:OPR_ATR،:EXPR_NUM،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL,EXPR_NUM_K=EXPR_NUM_G EXPR_NUM_KH
n    ,[:EXPR_NUM_G،:EXPR_NUM_KH،:EXPR_NUM_KR،:COMMA،:ID_OR_VEC،:OPR_ATR،:EXPR_NUM،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C,EXPR_NUM_G=ID_OR_VEC
n    ,[:ID_OR_VEC،:EXPR_NUM_KH،:EXPR_NUM_KR،:COMMA،:ID_OR_VEC،:OPR_ATR،:EXPR_NUM،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_,ID_OR_VEC=id VEC_INDX
،   ,[:VEC_INDX،:EXPR_NUM_KH،:EXPR_NUM_KR،:COMMA،:ID_OR_VEC،:OPR_ATR،:EXPR_NUM،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C,VEC_INDX=epsilon
،   ,[:EXPR_NUM_KH،:EXPR_NUM_KR،:COMMA،:ID_OR_VEC،:OPR_ATR،:EXPR_NUM،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:AL,EXPR_NUM_KH=epsilon
،   ,[:EXPR_NUM_KR،:COMMA،:ID_OR_VEC،:OPR_ATR،:EXPR_NUM،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_B,EXPR_NUM_KR=epsilon
i    ,[:ID_OR_VEC،:OPR_ATR،:EXPR_NUM،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],ID_OR_VEC=id VEC_INDX
=    ,[:VEC_INDX،:OPR_ATR،:EXPR_NUM،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],VEC_INDX=epsilon
i    ,[:EXPR_NUM،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],EXPR_NUM=EXPR_NUM_K EXPR_NUM_KR
i    ,[:EXPR_NUM_K،:EXPR_NUM_KR،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],EXPR_NUM_K=EXPR_NUM_G EXPR_NUM_KH
i    ,[:EXPR_NUM_G،:EXPR_NUM_KH،:EXPR_NUM_KR،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],EXPR_NUM_G=ID_OR_VEC
i    ,[:ID_OR_VEC،:EXPR_NUM_KH،:EXPR_NUM_KR،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],ID_OR_VEC=id VEC_INDX
+    ,[:VEC_INDX،:EXPR_NUM_KH،:EXPR_NUM_KR،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],VEC_INDX=epsilon
+    ,[:EXPR_NUM_KH،:EXPR_NUM_KR،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],EXPR_NUM_KH=epsilon
