entrada,Pilha,Regra
+    ,[:EXPR_NUM_KR،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],EXPR_NUM_KR=opr_pm EXPR_NUM
1    ,[:EXPR_NUM،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],EXPR_NUM=EXPR_NUM_K EXPR_NUM_KR
1    ,[:EXPR_NUM_K،:EXPR_NUM_KR،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],EXPR_NUM_K=EXPR_NUM_G EXPR_NUM_KH
1    ,[:EXPR_NUM_G،:EXPR_NUM_KH،:EXPR_NUM_KR،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],EXPR_NUM_G=ct_int
)    ,[:EXPR_NUM_KH،:EXPR_NUM_KR،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],EXPR_NUM_KH=epsilon
)    ,[:EXPR_NUM_KR،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],EXPR_NUM_KR=epsilon
c    ,[:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],ALL_ITER=FCALL_OR_ATRIB ALL_ITER
c    ,[:FCALL_OR_ATRIB،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],FCALL_OR_ATRIB=ID_OR_VEC FCALL_OR_ATRIB_F
c    ,[:ID_OR_VEC،:FCALL_OR_ATRIB_F،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],ID_OR_VEC=id VEC_INDX
=    ,[:VEC_INDX،:FCALL_OR_ATRIB_F،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],VEC_INDX=epsilon
=    ,[:FCALL_OR_ATRIB_F،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],FCALL_OR_ATRIB_F=ATRIB
=    ,[:ATRIB،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],ATRIB=opr_atr EXPR_NUM
nums ,[:EXPR_NUM،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],EXPR_NUM=EXPR_NUM_K EXPR_NUM_KR
nums ,[:EXPR_NUM_K،:EXPR_NUM_KR،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],EXPR_NUM_K=EXPR_NUM_G EXPR_NUM_KH
nums ,[:EXPR_NUM_G،:EXPR_NUM_KH،:EXPR_NUM_KR،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],EXPR_NUM_G=ID_OR_VEC
nums ,[:ID_OR_VEC،:EXPR_NUM_KH،:EXPR_NUM_KR،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],ID_OR_VEC=id VEC_INDX
::   ,[:VEC_INDX،:EXPR_NUM_KH،:EXPR_NUM_KR،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],VEC_INDX=vec_in VEC_INDX_F
i    ,[:VEC_INDX_F،:EXPR_NUM_KH،:EXPR_NUM_KR،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],VEC_INDX_F=INT_OR_ID
i    ,[:INT_OR_ID،:EXPR_NUM_KH،:EXPR_NUM_KR،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],INT_OR_ID=id
j    ,[:EXPR_NUM_KH،:EXPR_NUM_KR،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],EXPR_NUM_KH=epsilon
j    ,[:EXPR_NUM_KR،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],EXPR_NUM_KR=epsilon
j    ,[:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],ALL_ITER=FCALL_OR_ATRIB ALL_ITER
j    ,[:FCALL_OR_ATRIB،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],FCALL_OR_ATRIB=ID_OR_VEC FCALL_OR_ATRIB_F
j    ,[:ID_OR_VEC،:FCALL_OR_ATRIB_F،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],ID_OR_VEC=id VEC_INDX
=    ,[:VEC_INDX،:FCALL_OR_ATRIB_F،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],VEC_INDX=epsilon
=    ,[:FCALL_OR_ATRIB_F،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],FCALL_OR_ATRIB_F=ATRIB
=    ,[:ATRIB،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],ATRIB=opr_atr EXPR_NUM
i    ,[:EXPR_NUM،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],EXPR_NUM=EXPR_NUM_K EXPR_NUM_KR
i    ,[:EXPR_NUM_K،:EXPR_NUM_KR،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],EXPR_NUM_K=EXPR_NUM_G EXPR_NUM_KH
i    ,[:EXPR_NUM_G،:EXPR_NUM_KH،:EXPR_NUM_KR،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],EXPR_NUM_G=ID_OR_VEC
i    ,[:ID_OR_VEC،:EXPR_NUM_KH،:EXPR_NUM_KR،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],ID_OR_VEC=id VEC_INDX
while,[:VEC_INDX،:EXPR_NUM_KH،:EXPR_NUM_KR،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],VEC_INDX=epsilon
while,[:EXPR_NUM_KH،:EXPR_NUM_KR،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],EXPR_NUM_KH=epsilon
while,[:EXPR_NUM_KR،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],EXPR_NUM_KR=epsilon
while,[:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],ALL_ITER=ITER_WHILE ALL_ITER
while,[:ITER_WHILE،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],ITER_WHILE=while o_brckt EXPR_BOOL o_brckt o_c_brckt ALL_ITER c_c_brckt
j    ,[:EXPR_BOOL،:O_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],EXPR_BOOL=EXPR_BOOL_T EXPR_BOOL_H
j    ,[:EXPR_BOOL_T،:EXPR_BOOL_H،:O_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT,EXPR_BOOL_T=EXPR_BOOL_F EXPR_BOOL_TH
j    ,[:EXPR_BOOL_F،:EXPR_BOOL_TH،:EXPR_BOOL_H،:O_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_I,EXPR_BOOL_F=FN_H_BOOL OPRLR_EQQ_REL EXPR_NUM
j    ,[:FN_H_BOOL،:OPRLR_EQQ_REL،:EXPR_NUM،:EXPR_BOOL_TH،:EXPR_BOOL_H،:O_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL,FN_H_BOOL=id FN_H_BOOL_V
>    ,[:FN_H_BOOL_V،:OPRLR_EQQ_REL،:EXPR_NUM،:EXPR_BOOL_TH،:EXPR_BOOL_H،:O_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:A,FN_H_BOOL_V=epsilon
>    ,[:OPRLR_EQQ_REL،:EXPR_NUM،:EXPR_BOOL_TH،:EXPR_BOOL_H،:O_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_,OPRLR_EQQ_REL=oprlr_rel
h    ,[:EXPR_NUM،:EXPR_BOOL_TH،:EXPR_BOOL_H،:O_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER,EXPR_NUM=EXPR_NUM_K EXPR_NUM_KR
h    ,[:EXPR_NUM_K،:EXPR_NUM_KR،:EXPR_BOOL_TH،:EXPR_BOOL_H،:O_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_,EXPR_NUM_K=EXPR_NUM_G EXPR_NUM_KH
h    ,[:EXPR_NUM_G،:EXPR_NUM_KH،:EXPR_NUM_KR،:EXPR_BOOL_TH،:EXPR_BOOL_H،:O_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:A,EXPR_NUM_G=ID_OR_VEC
h    ,[:ID_OR_VEC،:EXPR_NUM_KH،:EXPR_NUM_KR،:EXPR_BOOL_TH،:EXPR_BOOL_H،:O_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:AL,ID_OR_VEC=id VEC_INDX
)    ,[:VEC_INDX،:EXPR_NUM_KH،:EXPR_NUM_KR،:EXPR_BOOL_TH،:EXPR_BOOL_H،:O_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL,VEC_INDX=epsilon
)    ,[:EXPR_NUM_KH،:EXPR_NUM_KR،:EXPR_BOOL_TH،:EXPR_BOOL_H،:O_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C,EXPR_NUM_KH=epsilon
)    ,[:EXPR_NUM_KR،:EXPR_BOOL_TH،:EXPR_BOOL_H،:O_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_I,EXPR_NUM_KR=epsilon
)    ,[:EXPR_BOOL_TH،:EXPR_BOOL_H،:O_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCK,EXPR_BOOL_TH=epsilon
)    ,[:EXPR_BOOL_H،:O_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],EXPR_BOOL_H=epsilon
while,[:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],ALL_ITER=ITER_WHILE ALL_ITER
while,[:ITER_WHILE،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],ITER_WHILE=while o_brckt EXPR_BOOL o_brckt o_c_brckt ALL_ITER c_c_brckt
nums ,[:EXPR_BOOL،:O_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_,EXPR_BOOL=EXPR_BOOL_T EXPR_BOOL_H
nums ,[:EXPR_BOOL_T،:EXPR_BOOL_H،:O_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT,EXPR_BOOL_T=EXPR_BOOL_F EXPR_BOOL_TH
nums ,[:EXPR_BOOL_F،:EXPR_BOOL_TH،:EXPR_BOOL_H،:O_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_I,EXPR_BOOL_F=FN_H_BOOL OPRLR_EQQ_REL EXPR_NUM
nums ,[:FN_H_BOOL،:OPRLR_EQQ_REL،:EXPR_NUM،:EXPR_BOOL_TH،:EXPR_BOOL_H،:O_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL,FN_H_BOOL=id FN_H_BOOL_V
(    ,[:FN_H_BOOL_V،:OPRLR_EQQ_REL،:EXPR_NUM،:EXPR_BOOL_TH،:EXPR_BOOL_H،:O_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:A,FN_H_BOOL_V=FN_CH
(    ,[:FN_CH،:OPRLR_EQQ_REL،:EXPR_NUM،:EXPR_BOOL_TH،:EXPR_BOOL_H،:O_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITE,FN_CH=o_brckt FN_CHP
j-h  ,[:FN_CHP،:OPRLR_EQQ_REL،:EXPR_NUM،:EXPR_BOOL_TH،:EXPR_BOOL_H،:O_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_IT,FN_CHP=FN_PR c_brckt
j-h  ,[:FN_PR،:C_BRCKT،:OPRLR_EQQ_REL،:EXPR_NUM،:EXPR_BOOL_TH،:EXPR_BOOL_H،:O_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT,FN_PR=id FN_PRE
)    ,[:FN_PRE،:C_BRCKT،:OPRLR_EQQ_REL،:EXPR_NUM،:EXPR_BOOL_TH،:EXPR_BOOL_H،:O_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCK,FN_PRE=epsilon
>    ,[:OPRLR_EQQ_REL،:EXPR_NUM،:EXPR_BOOL_TH،:EXPR_BOOL_H،:O_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_,OPRLR_EQQ_REL=oprlr_rel
c    ,[:EXPR_NUM،:EXPR_BOOL_TH،:EXPR_BOOL_H،:O_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER,EXPR_NUM=EXPR_NUM_K EXPR_NUM_KR
c    ,[:EXPR_NUM_K،:EXPR_NUM_KR،:EXPR_BOOL_TH،:EXPR_BOOL_H،:O_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_,EXPR_NUM_K=EXPR_NUM_G EXPR_NUM_KH
c    ,[:EXPR_NUM_G،:EXPR_NUM_KH،:EXPR_NUM_KR،:EXPR_BOOL_TH،:EXPR_BOOL_H،:O_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:A,EXPR_NUM_G=ID_OR_VEC
c    ,[:ID_OR_VEC،:EXPR_NUM_KH،:EXPR_NUM_KR،:EXPR_BOOL_TH،:EXPR_BOOL_H،:O_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:AL,ID_OR_VEC=id VEC_INDX
)    ,[:VEC_INDX،:EXPR_NUM_KH،:EXPR_NUM_KR،:EXPR_BOOL_TH،:EXPR_BOOL_H،:O_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL,VEC_INDX=epsilon
)    ,[:EXPR_NUM_KH،:EXPR_NUM_KR،:EXPR_BOOL_TH،:EXPR_BOOL_H،:O_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C,EXPR_NUM_KH=epsilon
)    ,[:EXPR_NUM_KR،:EXPR_BOOL_TH،:EXPR_BOOL_H،:O_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_I,EXPR_NUM_KR=epsilon
)    ,[:EXPR_BOOL_TH،:EXPR_BOOL_H،:O_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCK,EXPR_BOOL_TH=epsilon
)    ,[:EXPR_BOOL_H،:O_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:,EXPR_BOOL_H=epsilon
nums ,[:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],ALL_ITER=FCALL_OR_ATRIB ALL_ITER
nums ,[:FCALL_OR_ATRIB،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],FCALL_OR_ATRIB=ID_OR_VEC FCALL_OR_ATRIB_F
nums ,[:ID_OR_VEC،:FCALL_OR_ATRIB_F،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_B,ID_OR_VEC=id VEC_INDX
::   ,[:VEC_INDX،:FCALL_OR_ATRIB_F،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BR,VEC_INDX=vec_in VEC_INDX_F
j    ,[:VEC_INDX_F،:FCALL_OR_ATRIB_F،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_,VEC_INDX_F=INT_OR_ID
j    ,[:INT_OR_ID،:FCALL_OR_ATRIB_F،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_B,INT_OR_ID=id
=    ,[:FCALL_OR_ATRIB_F،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],FCALL_OR_ATRIB_F=ATRIB
=    ,[:ATRIB،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],ATRIB=opr_atr EXPR_NUM
nums ,[:EXPR_NUM،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],EXPR_NUM=EXPR_NUM_K EXPR_NUM_KR
nums ,[:EXPR_NUM_K،:EXPR_NUM_KR،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT,EXPR_NUM_K=EXPR_NUM_G EXPR_NUM_KH
nums ,[:EXPR_NUM_G،:EXPR_NUM_KH،:EXPR_NUM_KR،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_IT,EXPR_NUM_G=ID_OR_VEC
nums ,[:ID_OR_VEC،:EXPR_NUM_KH،:EXPR_NUM_KR،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITE,ID_OR_VEC=id VEC_INDX
::   ,[:VEC_INDX،:EXPR_NUM_KH،:EXPR_NUM_KR،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER,VEC_INDX=vec_in VEC_INDX_F
(    ,[:VEC_INDX_F،:EXPR_NUM_KH،:EXPR_NUM_KR،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_IT,VEC_INDX_F=o_brckt EXPR_NUM c_brckt
j-h  ,[:EXPR_NUM،:C_BRCKT،:EXPR_NUM_KH،:EXPR_NUM_KR،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT,,EXPR_NUM=EXPR_NUM_K EXPR_NUM_KR
j-h  ,[:EXPR_NUM_K،:EXPR_NUM_KR،:C_BRCKT،:EXPR_NUM_KH،:EXPR_NUM_KR،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_I,EXPR_NUM_K=EXPR_NUM_G EXPR_NUM_KH
j-h  ,[:EXPR_NUM_G،:EXPR_NUM_KH،:EXPR_NUM_KR،:C_BRCKT،:EXPR_NUM_KH،:EXPR_NUM_KR،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C,EXPR_NUM_G=ID_OR_VEC
j-h  ,[:ID_OR_VEC،:EXPR_NUM_KH،:EXPR_NUM_KR،:C_BRCKT،:EXPR_NUM_KH،:EXPR_NUM_KR،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_,ID_OR_VEC=id VEC_INDX
)    ,[:VEC_INDX،:EXPR_NUM_KH،:EXPR_NUM_KR،:C_BRCKT،:EXPR_NUM_KH،:EXPR_NUM_KR،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_B,VEC_INDX=epsilon
)    ,[:EXPR_NUM_KH،:EXPR_NUM_KR،:C_BRCKT،:EXPR_NUM_KH،:EXPR_NUM_KR،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_,EXPR_NUM_KH=epsilon
)    ,[:EXPR_NUM_KR،:C_BRCKT،:EXPR_NUM_KH،:EXPR_NUM_KR،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRC,EXPR_NUM_KR=epsilon
j    ,[:EXPR_NUM_KH،:EXPR_NUM_KR،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCK,EXPR_NUM_KH=epsilon
j    ,[:EXPR_NUM_KR،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],EXPR_NUM_KR=epsilon
j    ,[:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],ALL_ITER=FCALL_OR_ATRIB ALL_ITER
j    ,[:FCALL_OR_ATRIB،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],FCALL_OR_ATRIB=ID_OR_VEC FCALL_OR_ATRIB_F
j    ,[:ID_OR_VEC،:FCALL_OR_ATRIB_F،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_B,ID_OR_VEC=id VEC_INDX
=    ,[:VEC_INDX،:FCALL_OR_ATRIB_F،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BR,VEC_INDX=epsilon
=    ,[:FCALL_OR_ATRIB_F،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],FCALL_OR_ATRIB_F=ATRIB
