entrada;Pilha;Regra
int  ;Any[:S];S=IDT_TYPE_OR_VOID id PARAM o_c_brckt ALL_ITER c_c_brckt S
int  ;Any[:IDT_TYPE_OR_VOID, :ID, :PARAM, :O_C_BRCKT, :ALL_ITER, :C_C_BRCKT, :S];IDT_TYPE_OR_VOID=TYPE
int  ;Any[:TYPE, :ID, :PARAM, :O_C_BRCKT, :ALL_ITER, :C_C_BRCKT, :S];TYPE=CONST_R IDT_TYPE
int  ;Any[:CONST_R, :IDT_TYPE, :ID, :PARAM, :O_C_BRCKT, :ALL_ITER, :C_C_BRCKT, :S];CONST_R=epsilon
int  ;Any[:IDT_TYPE, :ID, :PARAM, :O_C_BRCKT, :ALL_ITER, :C_C_BRCKT, :S];IDT_TYPE=idt_int
(    ;Any[:PARAM, :O_C_BRCKT, :ALL_ITER, :C_C_BRCKT, :S];PARAM=o_brckt PRH
int  ;Any[:PRH, :O_C_BRCKT, :ALL_ITER, :C_C_BRCKT, :S];PRH=PR c_brckt
int  ;Any[:PR, :C_BRCKT, :O_C_BRCKT, :ALL_ITER, :C_C_BRCKT, :S];PR=TYPE ID_OR_VEC PRL
int  ;Any[:TYPE, :ID_OR_VEC, :PRL, :C_BRCKT, :O_C_BRCKT, :ALL_ITER, :C_C_BRCKT, :S];TYPE=CONST_R IDT_TYPE
int  ;Any[:CONST_R, :IDT_TYPE, :ID_OR_VEC, :PRL, :C_BRCKT, :O_C_BRCKT, :ALL_ITER, :C_C_BRCKT, :S];CONST_R=epsilon
int  ;Any[:IDT_TYPE, :ID_OR_VEC, :PRL, :C_BRCKT, :O_C_BRCKT, :ALL_ITER, :C_C_BRCKT, :S];IDT_TYPE=idt_int
argc ;Any[:ID_OR_VEC, :PRL, :C_BRCKT, :O_C_BRCKT, :ALL_ITER, :C_C_BRCKT, :S];ID_OR_VEC=id VEC_INDX
,    ;Any[:VEC_INDX, :PRL, :C_BRCKT, :O_C_BRCKT, :ALL_ITER, :C_C_BRCKT, :S];VEC_INDX=epsilon
,    ;Any[:PRL, :C_BRCKT, :O_C_BRCKT, :ALL_ITER, :C_C_BRCKT, :S];PRL=comma PR
string;Any[:PR, :C_BRCKT, :O_C_BRCKT, :ALL_ITER, :C_C_BRCKT, :S];PR=TYPE ID_OR_VEC PRL
string;Any[:TYPE, :ID_OR_VEC, :PRL, :C_BRCKT, :O_C_BRCKT, :ALL_ITER, :C_C_BRCKT, :S];TYPE=CONST_R IDT_TYPE
string;Any[:CONST_R, :IDT_TYPE, :ID_OR_VEC, :PRL, :C_BRCKT, :O_C_BRCKT, :ALL_ITER, :C_C_BRCKT, :S];CONST_R=epsilon
string;Any[:IDT_TYPE, :ID_OR_VEC, :PRL, :C_BRCKT, :O_C_BRCKT, :ALL_ITER, :C_C_BRCKT, :S];IDT_TYPE=idt_string
argv ;Any[:ID_OR_VEC, :PRL, :C_BRCKT, :O_C_BRCKT, :ALL_ITER, :C_C_BRCKT, :S];ID_OR_VEC=id VEC_INDX
)    ;Any[:VEC_INDX, :PRL, :C_BRCKT, :O_C_BRCKT, :ALL_ITER, :C_C_BRCKT, :S];VEC_INDX=epsilon
)    ;Any[:PRL, :C_BRCKT, :O_C_BRCKT, :ALL_ITER, :C_C_BRCKT, :S];PRL=epsilon
print;Any[:ALL_ITER, :C_C_BRCKT, :S];ALL_ITER=FCALL_OR_ATRIB ALL_ITER
print;Any[:FCALL_OR_ATRIB, :ALL_ITER, :C_C_BRCKT, :S];FCALL_OR_ATRIB=ID_OR_VEC FCALL_OR_ATRIB_F
print;Any[:ID_OR_VEC, :FCALL_OR_ATRIB_F, :ALL_ITER, :C_C_BRCKT, :S];ID_OR_VEC=id VEC_INDX
(    ;Any[:VEC_INDX, :FCALL_OR_ATRIB_F, :ALL_ITER, :C_C_BRCKT, :S];VEC_INDX=epsilon
(    ;Any[:FCALL_OR_ATRIB_F, :ALL_ITER, :C_C_BRCKT, :S];FCALL_OR_ATRIB_F=FN_CH
(    ;Any[:FN_CH, :ALL_ITER, :C_C_BRCKT, :S];FN_CH=o_brckt FN_CHP
"Hello World";Any[:FN_CHP, :ALL_ITER, :C_C_BRCKT, :S];FN_CHP=FN_PR c_brckt
"Hello World";Any[:FN_PR, :C_BRCKT, :ALL_ITER, :C_C_BRCKT, :S];FN_PR=CN_TP FN_PRE
"Hello World";Any[:CN_TP, :FN_PRE, :C_BRCKT, :ALL_ITER, :C_C_BRCKT, :S];CN_TP=ct_string
)    ;Any[:FN_PRE, :C_BRCKT, :ALL_ITER, :C_C_BRCKT, :S];FN_PRE=epsilon
}    ;Any[:ALL_ITER, :C_C_BRCKT, :S];ALL_ITER=epsilon
\eof ;Any[:S];S=epsilon
\eof ;Any[];---
