entrada,Pilha,Regra
n    ,[:EXPR_BOOL_F،:EXPR_BOOL_TH،:EXPR_BOOL_H،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],EXPR_BOOL_F=FN_H_BOOL OPRLR_EQQ_REL EXPR_NUM
n    ,[:FN_H_BOOL،:OPRLR_EQQ_REL،:EXPR_NUM،:EXPR_BOOL_TH،:EXPR_BOOL_H،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C,FN_H_BOOL=id FN_H_BOOL_V
<    ,[:FN_H_BOOL_V،:OPRLR_EQQ_REL،:EXPR_NUM،:EXPR_BOOL_TH،:EXPR_BOOL_H،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C,FN_H_BOOL_V=epsilon
<    ,[:OPRLR_EQQ_REL،:EXPR_NUM،:EXPR_BOOL_TH،:EXPR_BOOL_H،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],OPRLR_EQQ_REL=oprlr_rel
0    ,[:EXPR_NUM،:EXPR_BOOL_TH،:EXPR_BOOL_H،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],EXPR_NUM=EXPR_NUM_K EXPR_NUM_KR
0    ,[:EXPR_NUM_K،:EXPR_NUM_KR،:EXPR_BOOL_TH،:EXPR_BOOL_H،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],EXPR_NUM_K=EXPR_NUM_G EXPR_NUM_KH
0    ,[:EXPR_NUM_G،:EXPR_NUM_KH،:EXPR_NUM_KR،:EXPR_BOOL_TH،:EXPR_BOOL_H،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C,EXPR_NUM_G=ct_int
)    ,[:EXPR_NUM_KH،:EXPR_NUM_KR،:EXPR_BOOL_TH،:EXPR_BOOL_H،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],EXPR_NUM_KH=epsilon
)    ,[:EXPR_NUM_KR،:EXPR_BOOL_TH،:EXPR_BOOL_H،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],EXPR_NUM_KR=epsilon
)    ,[:EXPR_BOOL_TH،:EXPR_BOOL_H،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],EXPR_BOOL_TH=epsilon
)    ,[:EXPR_BOOL_H،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],EXPR_BOOL_H=epsilon
return,[:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],ALL_ITER=ITER_CTRL ALL_ITER
return,[:ITER_CTRL،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],ITER_CTRL=return DATA
-1   ,[:DATA،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],DATA=CT
-1   ,[:CT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],CT=ct_int
}    ,[:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],ALL_ITER=epsilon
if   ,[:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],ITER_IF_R=epsilon
if   ,[:ALL_ITER،:C_C_BRCKT،:S],ALL_ITER=ITER_IF ALL_ITER
if   ,[:ITER_IF،:ALL_ITER،:C_C_BRCKT،:S],ITER_IF=if o_brckt EXPR_BOOL c_brckt o_c_brckt ALL_ITER c_c_brckt ITER_IF_R
n    ,[:EXPR_BOOL،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],EXPR_BOOL=EXPR_BOOL_T EXPR_BOOL_H
n    ,[:EXPR_BOOL_T،:EXPR_BOOL_H،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],EXPR_BOOL_T=EXPR_BOOL_F EXPR_BOOL_TH
n    ,[:EXPR_BOOL_F،:EXPR_BOOL_TH،:EXPR_BOOL_H،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],EXPR_BOOL_F=FN_H_BOOL OPRLR_EQQ_REL EXPR_NUM
n    ,[:FN_H_BOOL،:OPRLR_EQQ_REL،:EXPR_NUM،:EXPR_BOOL_TH،:EXPR_BOOL_H،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C,FN_H_BOOL=id FN_H_BOOL_V
=    ,[:FN_H_BOOL_V،:OPRLR_EQQ_REL،:EXPR_NUM،:EXPR_BOOL_TH،:EXPR_BOOL_H،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C,FN_H_BOOL_V=epsilon
=    ,[:OPRLR_EQQ_REL،:EXPR_NUM،:EXPR_BOOL_TH،:EXPR_BOOL_H،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],OPRLR_EQQ_REL=opr_atr opr_atr
0    ,[:EXPR_NUM،:EXPR_BOOL_TH،:EXPR_BOOL_H،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],EXPR_NUM=EXPR_NUM_K EXPR_NUM_KR
0    ,[:EXPR_NUM_K،:EXPR_NUM_KR،:EXPR_BOOL_TH،:EXPR_BOOL_H،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],EXPR_NUM_K=EXPR_NUM_G EXPR_NUM_KH
0    ,[:EXPR_NUM_G،:EXPR_NUM_KH،:EXPR_NUM_KR،:EXPR_BOOL_TH،:EXPR_BOOL_H،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C,EXPR_NUM_G=ct_int
)    ,[:EXPR_NUM_KH،:EXPR_NUM_KR،:EXPR_BOOL_TH،:EXPR_BOOL_H،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],EXPR_NUM_KH=epsilon
)    ,[:EXPR_NUM_KR،:EXPR_BOOL_TH،:EXPR_BOOL_H،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],EXPR_NUM_KR=epsilon
)    ,[:EXPR_BOOL_TH،:EXPR_BOOL_H،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],EXPR_BOOL_TH=epsilon
)    ,[:EXPR_BOOL_H،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],EXPR_BOOL_H=epsilon
print,[:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],ALL_ITER=FCALL_OR_ATRIB ALL_ITER
print,[:FCALL_OR_ATRIB،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],FCALL_OR_ATRIB=ID_OR_VEC FCALL_OR_ATRIB_F
print,[:ID_OR_VEC،:FCALL_OR_ATRIB_F،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],ID_OR_VEC=id VEC_INDX
(    ,[:VEC_INDX،:FCALL_OR_ATRIB_F،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],VEC_INDX=epsilon
(    ,[:FCALL_OR_ATRIB_F،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],FCALL_OR_ATRIB_F=FN_CH
(    ,[:FN_CH،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],FN_CH=o_brckt FN_CHP
0  ,[:FN_CHP،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],FN_CHP=FN_PR c_brckt
0  ,[:FN_PR،:C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],FN_PR=CT FN_PRE
0  ,[:CT،:FN_PRE،:C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],CT=ct_string
)    ,[:FN_PRE،:C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],FN_PRE=epsilon
return,[:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],ALL_ITER=ITER_CTRL ALL_ITER
return,[:ITER_CTRL،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],ITER_CTRL=return DATA
-1   ,[:DATA،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],DATA=CT
-1   ,[:CT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],CT=ct_int
}    ,[:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],ALL_ITER=epsilon
if   ,[:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],ITER_IF_R=epsilon
if   ,[:ALL_ITER،:C_C_BRCKT،:S],ALL_ITER=ITER_IF ALL_ITER
if   ,[:ITER_IF،:ALL_ITER،:C_C_BRCKT،:S],ITER_IF=if o_brckt EXPR_BOOL c_brckt o_c_brckt ALL_ITER c_c_brckt ITER_IF_R
n    ,[:EXPR_BOOL،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],EXPR_BOOL=EXPR_BOOL_T EXPR_BOOL_H
n    ,[:EXPR_BOOL_T،:EXPR_BOOL_H،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],EXPR_BOOL_T=EXPR_BOOL_F EXPR_BOOL_TH
n    ,[:EXPR_BOOL_F،:EXPR_BOOL_TH،:EXPR_BOOL_H،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],EXPR_BOOL_F=FN_H_BOOL OPRLR_EQQ_REL EXPR_NUM
n    ,[:FN_H_BOOL،:OPRLR_EQQ_REL،:EXPR_NUM،:EXPR_BOOL_TH،:EXPR_BOOL_H،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C,FN_H_BOOL=id FN_H_BOOL_V
=    ,[:FN_H_BOOL_V،:OPRLR_EQQ_REL،:EXPR_NUM،:EXPR_BOOL_TH،:EXPR_BOOL_H،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C,FN_H_BOOL_V=epsilon
=    ,[:OPRLR_EQQ_REL،:EXPR_NUM،:EXPR_BOOL_TH،:EXPR_BOOL_H،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],OPRLR_EQQ_REL=opr_atr opr_atr
1    ,[:EXPR_NUM،:EXPR_BOOL_TH،:EXPR_BOOL_H،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],EXPR_NUM=EXPR_NUM_K EXPR_NUM_KR
1    ,[:EXPR_NUM_K،:EXPR_NUM_KR،:EXPR_BOOL_TH،:EXPR_BOOL_H،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],EXPR_NUM_K=EXPR_NUM_G EXPR_NUM_KH
1    ,[:EXPR_NUM_G،:EXPR_NUM_KH،:EXPR_NUM_KR،:EXPR_BOOL_TH،:EXPR_BOOL_H،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C,EXPR_NUM_G=ct_int
)    ,[:EXPR_NUM_KH،:EXPR_NUM_KR،:EXPR_BOOL_TH،:EXPR_BOOL_H،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],EXPR_NUM_KH=epsilon
)    ,[:EXPR_NUM_KR،:EXPR_BOOL_TH،:EXPR_BOOL_H،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],EXPR_NUM_KR=epsilon
)    ,[:EXPR_BOOL_TH،:EXPR_BOOL_H،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],EXPR_BOOL_TH=epsilon
)    ,[:EXPR_BOOL_H،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],EXPR_BOOL_H=epsilon
print,[:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],ALL_ITER=FCALL_OR_ATRIB ALL_ITER
print,[:FCALL_OR_ATRIB،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],FCALL_OR_ATRIB=ID_OR_VEC FCALL_OR_ATRIB_F
print,[:ID_OR_VEC،:FCALL_OR_ATRIB_F،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],ID_OR_VEC=id VEC_INDX
(    ,[:VEC_INDX،:FCALL_OR_ATRIB_F،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],VEC_INDX=epsilon
(    ,[:FCALL_OR_ATRIB_F،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],FCALL_OR_ATRIB_F=FN_CH
(    ,[:FN_CH،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],FN_CH=o_brckt FN_CHP
0.1,[:FN_CHP،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],FN_CHP=FN_PR c_brckt
0.1,[:FN_PR،:C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],FN_PR=CT FN_PRE
0.1,[:CT،:FN_PRE،:C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],CT=ct_string
)    ,[:FN_PRE،:C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],FN_PRE=epsilon
return,[:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],ALL_ITER=ITER_CTRL ALL_ITER
return,[:ITER_CTRL،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],ITER_CTRL=return DATA
-1   ,[:DATA،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],DATA=CT
-1   ,[:CT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],CT=ct_int
}    ,[:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],ALL_ITER=epsilon
if   ,[:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],ITER_IF_R=epsilon
if   ,[:ALL_ITER،:C_C_BRCKT،:S],ALL_ITER=ITER_IF ALL_ITER
if   ,[:ITER_IF،:ALL_ITER،:C_C_BRCKT،:S],ITER_IF=if o_brckt EXPR_BOOL c_brckt o_c_brckt ALL_ITER c_c_brckt ITER_IF_R
n    ,[:EXPR_BOOL،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],EXPR_BOOL=EXPR_BOOL_T EXPR_BOOL_H
n    ,[:EXPR_BOOL_T،:EXPR_BOOL_H،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],EXPR_BOOL_T=EXPR_BOOL_F EXPR_BOOL_TH
n    ,[:EXPR_BOOL_F،:EXPR_BOOL_TH،:EXPR_BOOL_H،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],EXPR_BOOL_F=FN_H_BOOL OPRLR_EQQ_REL EXPR_NUM
n    ,[:FN_H_BOOL،:OPRLR_EQQ_REL،:EXPR_NUM،:EXPR_BOOL_TH،:EXPR_BOOL_H،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C,FN_H_BOOL=id FN_H_BOOL_V
>    ,[:FN_H_BOOL_V،:OPRLR_EQQ_REL،:EXPR_NUM،:EXPR_BOOL_TH،:EXPR_BOOL_H،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C,FN_H_BOOL_V=epsilon
>    ,[:OPRLR_EQQ_REL،:EXPR_NUM،:EXPR_BOOL_TH،:EXPR_BOOL_H،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],OPRLR_EQQ_REL=oprlr_rel
1    ,[:EXPR_NUM،:EXPR_BOOL_TH،:EXPR_BOOL_H،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],EXPR_NUM=EXPR_NUM_K EXPR_NUM_KR
1    ,[:EXPR_NUM_K،:EXPR_NUM_KR،:EXPR_BOOL_TH،:EXPR_BOOL_H،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],EXPR_NUM_K=EXPR_NUM_G EXPR_NUM_KH
1    ,[:EXPR_NUM_G،:EXPR_NUM_KH،:EXPR_NUM_KR،:EXPR_BOOL_TH،:EXPR_BOOL_H،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C,EXPR_NUM_G=ct_int
)    ,[:EXPR_NUM_KH،:EXPR_NUM_KR،:EXPR_BOOL_TH،:EXPR_BOOL_H،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],EXPR_NUM_KH=epsilon
)    ,[:EXPR_NUM_KR،:EXPR_BOOL_TH،:EXPR_BOOL_H،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],EXPR_NUM_KR=epsilon
)    ,[:EXPR_BOOL_TH،:EXPR_BOOL_H،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],EXPR_BOOL_TH=epsilon
)    ,[:EXPR_BOOL_H،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],EXPR_BOOL_H=epsilon
int  ,[:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],ALL_ITER=VAR_DCLR ALL_ITER
int  ,[:VAR_DCLR،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],VAR_DCLR=IDT_TYPE ID_OR_VEC opr_atr DATA
int  ,[:IDT_TYPE،:ID_OR_VEC،:OPR_ATR،:DATA،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],IDT_TYPE=idt_int
sequence,[:ID_OR_VEC،:OPR_ATR،:DATA،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],ID_OR_VEC=id VEC_INDX
::   ,[:VEC_INDX،:OPR_ATR،:DATA،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],VEC_INDX=vec_in VEC_INDX_F
n    ,[:VEC_INDX_F،:OPR_ATR،:DATA،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],VEC_INDX_F=INT_OR_ID
n    ,[:INT_OR_ID،:OPR_ATR،:DATA،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],INT_OR_ID=id
1    ,[:DATA،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],DATA=CT
1    ,[:CT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],CT=ct_int
sequence,[:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],ALL_ITER=FCALL_OR_ATRIB ALL_ITER
sequence,[:FCALL_OR_ATRIB،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],FCALL_OR_ATRIB=ID_OR_VEC FCALL_OR_ATRIB_F
sequence,[:ID_OR_VEC،:FCALL_OR_ATRIB_F،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],ID_OR_VEC=id VEC_INDX
::   ,[:VEC_INDX،:FCALL_OR_ATRIB_F،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],VEC_INDX=vec_in VEC_INDX_F
0    ,[:VEC_INDX_F،:FCALL_OR_ATRIB_F،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],VEC_INDX_F=INT_OR_ID
0    ,[:INT_OR_ID،:FCALL_OR_ATRIB_F،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],INT_OR_ID=ct_int
=    ,[:FCALL_OR_ATRIB_F،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],FCALL_OR_ATRIB_F=ATRIB
=    ,[:ATRIB،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],ATRIB=opr_atr EXPR_NUM
0    ,[:EXPR_NUM،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],EXPR_NUM=EXPR_NUM_K EXPR_NUM_KR
0    ,[:EXPR_NUM_K،:EXPR_NUM_KR،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],EXPR_NUM_K=EXPR_NUM_G EXPR_NUM_KH
0    ,[:EXPR_NUM_G،:EXPR_NUM_KH،:EXPR_NUM_KR،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],EXPR_NUM_G=ct_int
sequence,[:EXPR_NUM_KH،:EXPR_NUM_KR،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],EXPR_NUM_KH=epsilon
