entrada,Pilha,Regra
void ,[:S],S=IDT_TYPE_OR_VOID id PARAM o_c_brckt ALL_ITER c_c_brckt S
void ,[:IDT_TYPE_OR_VOID،:ID،:PARAM،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],IDT_TYPE_OR_VOID=idt_void
(    ,[:PARAM،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],PARAM=o_brckt PRH
int  ,[:PRH،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],PRH=PR c_brckt
int  ,[:PR،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],PR=TYPE ID_OR_VEC PRL
int  ,[:TYPE،:ID_OR_VEC،:PRL،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],TYPE=CONST_R IDT_TYPE
int  ,[:CONST_R،:IDT_TYPE،:ID_OR_VEC،:PRL،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],CONST_R=epsilon
int  ,[:IDT_TYPE،:ID_OR_VEC،:PRL،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],IDT_TYPE=idt_int
n    ,[:ID_OR_VEC،:PRL،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],ID_OR_VEC=id VEC_INDX
)    ,[:VEC_INDX،:PRL،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],VEC_INDX=epsilon
)    ,[:PRL،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],PRL=epsilon
if   ,[:ALL_ITER،:C_C_BRCKT،:S],ALL_ITER=ITER_IF ALL_ITER
if   ,[:ITER_IF،:ALL_ITER،:C_C_BRCKT،:S],ITER_IF=if o_brckt EXPR_BOOL c_brckt o_c_brckt ALL_ITER c_c_brckt ITER_IF_R
n    ,[:EXPR_BOOL،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],EXPR_BOOL=EXPR_BOOL_T EXPR_BOOL_H
n    ,[:EXPR_BOOL_T،:EXPR_BOOL_H،:C_BRCKT،:O_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ITER_IF_R،:ALL_ITER،:C_C_BRCKT،:S],EXPR_BOOL_T=EXPR_BOOL_F EXPR_BOOL_TH
